PROJECT NAME,AGENCY,project ZIP,project CD,STATUS,artist ZIP,"project
START date",FULL 1% amount,"ART
contract $",art contract START,COMMUNITY MEETING date(s), END DATE
Exposition Park Intergenerational Community Center,Rec+Parks,90037,9,completed,90042,2/2/2000,190000,155800,6/30/2000,9/26/2000,5/14/2003
Sun Valley Branch Library,Library,91352,6,completed,90045,6/29/2000,20000,20000,6/29/1999,8/28/2000,5/20/2003
Westwood Branch Library [#1],Library,90024,5,completed,90086,6/28/2001,20000,20000,6/28/2001,1/8/2002,4/20/2005
Mar Vista Library,Library,90066,11,completed,90086,6/23/2000,20000,20000,6/23/2000,11/16/2000,12/4/2002
Air Treatment Facility | NCOS 6000 Jefferson,BOE,90016,10,completed,90026,6/21/2005,69000,56580,6/21/2005,12/7/2007,11/16/2010
Warner Streetscape & Transit Hub,DOT,91367,3,completed,91406,2/29/2000,30000,46378,6/19/2000,9/17/2002,7/8/2005
Police Administration Building | Spring Street Sculptures,Police,90012,14,completed,90291,6/18/2007,609756,500000,6/18/2007,"11/19/2007, 12/05/2007, 12/12/2007",11/2/2009
Police Administration Building | Auditorium Façade Treatment,Police,90012,14,completed,94110,6/18/2007,609756,500000,6/18/2007,,unknown
Van Nuys Blvd. Bridge,BIP,91405,6,completed,92104,6/18/1999,12000,12000,6/18/1999,N/A,1/23/2002
"Venice Beach Rose Avenue, Restroom Renovation",BOE,90291,11,completed,90031,6/16/2015,7500,6150,6/16/2015,NA,6/15/2016
Pedlow Skate Park,Rec+Parks,91406,6,completed,90291,6/10/2003,10000,8200,6/10/2003,8/13/2003,5/25/2006
Chinatown Branch Library [#2],Library,90012,1,completed,91324,6/1/2005,15000,15000,6/1/2005,n/a,6/24/2006
Chatsworth Branch Library [#2],Library,91311,12,completed,91304,6/1/2004,83000,83000,6/1/2004,n/a,2/15/2006
Porter Branch Library,Library,91326,12,completed,90025,6/1/1996,27500,18000,6/1/1996,5/8/1996,7/6/1999
Sylmar/San Fernando Metrolink Station`,DOT,91342,7,completed,14213,10/1/1994,25000,25000,6/1/1995,,7/28/1998
Chatsworth Metrolink Station,DOT,91311,12,completed,90291,10/1/1994,40000,40000,6/1/1995,,6/18/1997
Washington Irving Branch Library,Library,90016,10,completed,90221,6/1/1993,23000,23000,6/1/1993,,4/12/2001
Fred Roberts Gymnasium and Recreation Center,Rec+Parks,90011,9,completed,90026,5/8/2007,38000,39500,5/8/2007,9/26/2007,5/7/2011
Baldwin Hills Branch Library,Library,90019,10,completed,91602,5/6/1999,20000,20000,5/6/1999,12/6/1999,4/23/2002
Police Academy | New Training Facility,Police,90012,1,active,90042,5/15/2015,156097,120000,5/5/2014,"11/12/15, 4/19/16",
Police Academy | Renovation,Police,90012,1,active,91106,5/15/2015,205487,120000,5/5/2014,"11/12/15, 4/19/16",
Edendale Branch Library,Library,90026,13,completed,90026,5/24/2001,20000,20000,5/24/2001,7/17/2001,2/8/2005
Air Treatment Facility | Mission & Jesse,BOE,90023,14,completed,90023,11/17/2005,148920,77200,5/2/2013,11/3/2011,6/27/2015
Pico Union Fire Station No. 13,Fire,90006,1,completed,92371,5/18/2004,58434,50000,5/18/2004,9/7/2004,unknown
Harbor Animal Care & Services Center,Animal Services,90731,15,completed,90731,5/13/2003,68100,55850,5/13/2003,9/12/2005,8/19/2008
Mark Twain Branch Library,Library,90003,8,completed,90305,5/11/2000,20000,20000,5/11/2000,7/31/2000,1/13/2003
77th Street Police Station,Police,90003,9,completed,94188,9/16/1991,152000,152000,5/1/1995,n/a,11/14/1997
Palms-Rancho Park Branch Library,Library,90064,5,completed,90066,4/27/2000,20000,20000,4/7/2000,8/8/2000,2/24/2003
Mid-Valley Intergenerational Center,Rec+Parks,91402,6,active,90008,4/4/2013,11808.7,9683.13,4/4/2013,,
West LA Animal Care & Services Center,Animal Services,90064,11,completed,90019,4/29/2003,70600,58000,4/29/2003,11/6/2003,10/23/2007
South LA Fire Station No. 21,Fire,90011,9,completed,33140,4/28/2003,56000,56000,4/28/2003,,unknown
Canoga Park Branch Library,Library,91303,3,completed,91941,4/27/2001,20000,30000,4/27/2001,06/04/01;08/29/01,11/23/2005
Arleta Fire Station No. 7,Fire,91402,6,completed,90042,4/25/2012,90000,73800,4/25/2012,n/a,9/7/2016
Sepulveda Park West,Rec+Parks,91343,6,completed,90086,4/20/2001,15000,13000,4/20/2001,6/28/2001,9/4/2002
South LA Animal Shelter,Animal Services,90047,8,completed,90045,4/2/2009,170000,130000,4/2/2009,,12/18/2012
Van Nuys Flyaway,LAWA,91401,6,completed,90013,4/17/2006,217000,217000,4/19/2006,4/4/2006,5/27/2009
Silver Lake Branch Library [#2],Library,90039,13,completed,90026,4/18/2008,41300,35000,4/18/2008,11/19/2008,4/17/2011
Los Angeles Zoo [#1] (revisited),Zoo,90027,4,completed,90063,3/20/2002,297170,243680,4/15/2002,11/26/06; 07/31/03,9/7/2004
Gilbert Lindsay Recreation Center,Rec+Parks,90011,9,completed,90037,4/12/2007,15000,12300,4/12/2007,9/27/2007,4/11/2010
Green Meadows Gymnasium,Rec+Parks,90003,9,completed,90042,4/10/2003,25000,23780,4/10/2003,6/4/2003,2/23/2006
Encino Fire Station No. 83,Fire,91436,5,completed,94805,4/1/2003,56000,56000,4/1/2003,n/a,unknown
Jefferson Branch Library,Library,90018,10,completed,91602,11/1/1998,20000,20000,4/1/1999,10/4/1999,7/10/2003
Hollenbeck Police Station | Memorial to Fallen Officers,Police,90033,14,active,90007,3/8/2012,30730,25000,3/8/2012,5/20/2015,
LAPD Metropolitan Division [Old Rampart Renovation],Police,90026,13,completed,90039,3/6/2012,176860,145000,3/6/2012,"9/25/2014, 11/19/2014",4/8/2016
Metro Detention Center | Site-Specific Artwork,Police,90012,14,completed,10011,3/30/2004,241315,213830,3/30/2004,,2/26/2009
Los Angeles Riverfront Park,Rec+Parks,91604,2,completed,90086,11/8/2002,58800,54680,3/24/2003,8/20/2003,4/2/2009
Tom Bradley International Terminal,LAWA,90045,11,completed,11217,3/8/2007,18000,18000,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,92024,3/8/2007,16665,16665,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,11211,3/8/2007,12979,12979,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,91214,3/8/2007,15100,15100,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,11373,3/8/2007,17000,17000,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,94131,3/8/2007,14770,14770,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,90041,3/8/2007,15810,15810,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,10018,3/8/2007,16000,16000,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,90302,3/8/2007,13100,13100,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,90066,3/8/2007,12730,12730,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,94103,3/8/2007,16000,16000,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,10011,3/8/2007,12725,12725,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,93003,3/8/2007,9461,9461,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,77006,3/8/2007,15000,15000,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,11205,3/8/2007,15960,15960,3/1/2008,n/a,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,94105,3/8/2007,12700,12700,3/1/2008,,2/28/2011
Tom Bradley International Terminal,LAWA,90045,11,completed,60605,3/8/2007,16000,16000,3/1/2008,,2/28/2011
Cypress Park Branch Library [#1],Library,90065,1,completed,91331,2/9/2000,20000,20000,2/9/2000,3/27/2000,1/6/2003
Chinatown Branch Library [#1],Library,90012,1,completed,90065,2/6/2001,20000,20000,2/6/2001,4/26/2001,3/12/2003
Crenshaw Fire Station No. 94,Fire,90008,10,completed,90026,2/5/2008,124000,102000,2/5/2008,none required,5/15/2011
Westchester-Loyola Village Branch Library,Library,90045,11,completed,90031,2/26/2001,20000,20000,2/26/2001,3/26/2001,2/25/2003
San Fernando Bike Path (Phase 3),BIP,91331,6,completed,90405,2/25/2009,15760,15760,2/25/2009,10/11/2011,unknown
Palms Area Child Care Center,Rec+Parks,90064,5,completed,90023,2/20/2001,9100,7600,2/22/2001,5/29/2001,2/5/2003
El Sereno Branch Library,Library,90032,14,completed,90031,2/20/2001,20000,20000,2/20/2001,2/26/2001,12/30/2003
Westchester Fire Station No. 5 [#2],Fire,90045,11,completed,90042,2/19/2008,72370,47000,2/19/2008,3/16/2009,2/18/2011
Will & Ariel Durant Branch Library [#2],Library,90046,4,completed,90026,2/18/2009,20000,20000,2/18/2009,3/17/2009,2/17/2012
Reseda Pool,Rec+Parks,91335,3,completed,90042,12/14/2010,22040,18140,2/15/2011,8/23/2011,5/30/2012
Northridge Branch Library,Library,91325,12,completed,90031,2/13/2001,20000,20000,2/13/2001,4/9/2001,12/30/2003
Delano Park Recreation Center,Rec+Parks,91411,6,completed,90808,2/10/2000,21000,17000,2/10/2000,10/26/2000,5/20/2005
Granada Hills Community Center,Rec+Parks,91344,12,completed,90039,2/1/1998,21000,17000,2/1/1998,"3/8/98, 1/13/99",6/19/2001
Robertson Boulevard Parking Structure,DOT,90048,5,completed,90065,2/1/1997,60000,60000,2/1/1997,6/10/1997,11/30/1998
Westwood Parking Structure,DOT,90024,5,completed,90065,2/1/1997,70000,70000,2/1/1997,5/8/1997,12/15/2000
Malabar Branch Library,Library,90033,14,completed,91941,2/1/1995,13500,13500,2/1/1995,4/27/1996,3/18/1997
Mid-Valley Branch Regional Branch Library,Library,91343,12,completed,94805,2/1/1995,27500,27500,2/1/1995,4/5/1995,9/1/1995
Pan Pacific Park Recreation Center,Rec+Parks,90036,4,completed,90504,12/8/1998,39000,34000,12/8/1998,5/20/1999,1/15/2002
